track_id,app_name,seller_name,bundle_id,app_store_url,release_date,current_version_release_date,app_version,months_since_update,launched_last_12_months,stale_6mo,user_rating_count,user_rating_count_current_version,average_user_rating,primary_genre,genres,app_store_category,content_advisory_rating,minimum_ios_version,gambling_specific,matched_search_terms
6760438787,Gamblocker – Gambling Blocker,hideaki suzuki,jp.exystar.gamblock,https://apps.apple.com/us/app/gamblocker-gambling-blocker/id6760438787?uo=4,2026-03-28,2026-09-11,1.3,0.3,Y,N,1,1,1,Health & Fitness,Health & Fitness; Lifestyle,harm-reduction,17+,17.6,Y,gambling blocker
6768125792,Pact: Gambling App Blocker,Ben RuoHeng Fu,com.benf.Pact,https://apps.apple.com/us/app/pact-gambling-app-blocker/id6768125792?uo=4,2026-06-14,2026-07-25,1.6,1.9,Y,N,0,0,0,Health & Fitness,Health & Fitness,harm-reduction,4+,26.4,Y,gambling blocker
6760262304,Anchor - Bet Blocker,Branko Popovic,com.branko.AnchorBetBlocker,https://apps.apple.com/us/app/anchor-bet-blocker/id6760262304?uo=4,2026-03-23,2026-05-11,1.1.0,4.3,Y,N,0,0,0,Utilities,Utilities,harm-reduction,17+,18.0,Y,gambling blocker
1474967653,BlockSite: Block Apps & Focus,BlockSite LP,co.ios.BlockSite,https://apps.apple.com/us/app/blocksite-block-apps-focus/id1474967653?uo=4,2019-09-01,2026-09-06,4.4.4,0.5,N,N,6186,6186,4.24475,Productivity,Productivity; Health & Fitness,not-gambling,4+,17.6,N,gambling blocker
6779285702,Foldem - Gambling Blocker,Boelstad Digital,app.foldem.ios,https://apps.apple.com/us/app/foldem-gambling-blocker/id6779285702?uo=4,2026-06-17,2026-09-04,2.1,0.5,Y,N,0,0,0,Health & Fitness,Health & Fitness; Utilities,harm-reduction,4+,26.5,Y,gambling blocker
6757510666,Stop Gambling: Bet Free,Lucas Yamashita,YSOFTWARE.BetFree,https://apps.apple.com/us/app/stop-gambling-bet-free/id6757510666?uo=4,2026-01-30,2026-04-17,1.22,5.1,Y,N,8,8,4.5,Health & Fitness,Health & Fitness; Finance,harm-reduction,4+,16.6,Y,gambling blocker; gambling addiction recovery
6751742713,BetFree - Gambling Recovery,Pena Digital LLC,com.app.betfree,https://apps.apple.com/us/app/betfree-gambling-recovery/id6751742713?uo=4,2025-09-21,2026-03-10,1.0.3,6.4,Y,Y,1,1,5,Health & Fitness,Health & Fitness; Productivity,harm-reduction,4+,14.0,Y,gambling blocker; gambling addiction recovery
6775549637,GamblePause,GAMBLEPAUSE INITIATIVE FOR ADDICTS AWARENESS,com.gamblepause.gamblepauseblocker,https://apps.apple.com/us/app/gamblepause/id6775549637?uo=4,2026-07-27,2026-09-05,2.1.0,0.5,Y,N,1,1,5,Utilities,Utilities; Productivity,harm-reduction,4+,15.1,Y,gambling blocker
1506229470,FanDuel Casino - Real Money,FanDuel Limited,com.fanduel.casino,https://apps.apple.com/us/app/fanduel-casino-real-money/id1506229470?uo=4,2020-06-23,2026-09-16,2.132,0.1,N,N,199047,199047,4.77264,Games,Games; Casino; Entertainment; Casual,gambling-product,17+,15.1,N,gambling blocker; gambling addiction recovery
1040172229,myKONAMI® Slots,"Playstudios, Inc.",com.playstudios.mykonami,https://apps.apple.com/us/app/mykonami-slots/id1040172229?uo=4,2015-12-23,2026-08-20,1.139.0,1.0,N,N,273159,273159,4.64018,Games,Games; Card; Casino; Entertainment,gambling-product,17+,12.0,N,gambling blocker
6761081644,NoBet - Stop Gambling Today,Adam Butterworth,com.nobet.No-Bet,https://apps.apple.com/us/app/nobet-stop-gambling-today/id6761081644?uo=4,2026-04-14,2026-04-15,1.0,5.2,Y,N,13,13,4.69231,Lifestyle,Lifestyle; Health & Fitness,harm-reduction,12+,26.2,Y,gambling blocker
1114665424,Casino Deluxe - Vegas Slots,GAMES HUB HONG KONG LIMITED,com.igg.ios.casinodeluxebyigg,https://apps.apple.com/us/app/casino-deluxe-vegas-slots/id1114665424?uo=4,2017-11-27,2026-08-19,1.11.12,1.1,N,N,947,947,4.31257,Games,Games; Casino,gambling-product,17+,12,N,gambling blocker
1247764998,BetMGM Poker - New Jersey,"ROAR Digital, LLC",com.playmgmpoker.nj,https://apps.apple.com/us/app/betmgm-poker-new-jersey/id1247764998?uo=4,2017-07-28,2026-05-28,8.7.3,3.8,N,N,1760,1760,4.20397,Games,Games; Entertainment; Casino; Card,gambling-product,17+,14.0,N,gambling blocker
6758920349,Safezino - Gambling Blocker,DILIEN LABS,com.safezino.app,https://apps.apple.com/us/app/safezino-gambling-blocker/id6758920349?uo=4,2026-06-09,2026-09-08,1.4,0.4,Y,N,0,0,0,Utilities,Utilities,harm-reduction,17+,15.1,Y,gambling blocker
6470975876,Spin Master- Casino Slots Game,25 HK Technology Limited,com.tofun.spin.master.slots.ios,https://apps.apple.com/us/app/spin-master-casino-slots-game/id6470975876?uo=4,2024-04-13,2025-09-22,1.00.33,11.9,N,Y,2277,2277,4.77383,Games,Games; Casino; Card,gambling-product,17+,12.0,N,gambling blocker
691121579,AdBlock,AdBlock Labs Sp. z o. o.,com.futuremind.adblock,https://apps.apple.com/us/app/adblock/id691121579?uo=4,2014-03-16,2021-07-27,4.7.3,61.8,N,Y,34055,34055,4.29558,Utilities,Utilities; Productivity,not-gambling,4+,12.0,N,gambling blocker
481150251,Casino Master - Slots Poker,Casino Game Limited,com.secondgamestudio.casinomaster,https://apps.apple.com/us/app/casino-master-slots-poker/id481150251?uo=4,2011-11-23,2018-08-18,1.13,97.1,N,Y,40,40,3.475,Games,Games; Casino; Entertainment; Card,gambling-product,17+,8.0,N,gambling blocker
1590852096,Bally Bet Sportsbook & Casino,Ballys Interactive LLC,com.gamesys.ballycasino,https://apps.apple.com/us/app/bally-bet-sportsbook-casino/id1590852096?uo=4,2021-12-29,2026-09-15,26.18.0,0.2,N,N,49721,49721,4.56257,Games,Games; Casino; Sports; Entertainment,gambling-product,17+,17.0,N,gambling blocker
6475694708,Yume - Beat Gambling Addiction,LaunchX LLC,com.launchx.yume,https://apps.apple.com/us/app/yume-beat-gambling-addiction/id6475694708?uo=4,2024-01-24,2025-12-02,1.3.0,9.6,N,Y,37,37,3.48649,Health & Fitness,Health & Fitness; Lifestyle,harm-reduction,17+,13.0,Y,gambling blocker; gambling addiction recovery
739699649,Slotpark Casino Slots Online,Funstage GmbH,com.platogo.pmp,https://apps.apple.com/us/app/slotpark-casino-slots-online/id739699649?uo=4,2016-01-25,2026-09-17,4.25.1,0.1,N,N,1380,1380,4.63985,Games,Games; Casino; Card; Entertainment,gambling-product,17+,15.0,N,gambling blocker
1017064541,Viva Slots Vegas Slot Machines,"Viva Slots Free Classic Slot Machine Games, LLC",com.RocketGames.ClassicSlots,https://apps.apple.com/us/app/viva-slots-vegas-slot-machines/id1017064541?uo=4,2015-08-22,2026-08-31,4.4.50,0.7,N,N,45949,45949,4.78587,Games,Games; Casino; Entertainment; Card,gambling-product,17+,15.0,N,gambling blocker
575980917,Jackpot Party - Casino Slots,"Phantom EFX, Inc.",com.williamsinteractive.jackpotparty,https://apps.apple.com/us/app/jackpot-party-casino-slots/id575980917?uo=4,2012-12-12,2026-09-08,5072.00,0.4,N,N,270287,270287,4.56107,Games,Games; Card; Casino; Social Networking,gambling-product,17+,12.0,N,gambling blocker
523002940,Galaxy Casino - Slots game,nurigames Inc.,nuri.dpdpdp.casinoland,https://apps.apple.com/us/app/galaxy-casino-slots-game/id523002940?uo=4,2012-11-30,2026-06-11,46.41,3.3,N,N,6817,6817,4.50389,Games,Games; Entertainment; Casino; Card,gambling-product,17+,13.0,N,gambling blocker
913490211,Full House Casino: 777 Slots,Memoriki Ltd,com.memoriki.fullhousecasino,https://apps.apple.com/us/app/full-house-casino-777-slots/id913490211?uo=4,2014-09-23,2026-09-14,2.2.96,0.2,N,N,873,873,4.55326,Games,Games; Casino; Card; Entertainment,gambling-product,17+,15.0,N,gambling blocker
1122387239,Take5 Casino - Slot Machines,"DoubleUGames Co., Ltd.",com.doubleugames.take5,https://apps.apple.com/us/app/take5-casino-slot-machines/id1122387239?uo=4,2016-12-06,2022-12-01,2.120.1,45.6,N,Y,5675,5675,4.39172,Games,Games; Casino,gambling-product,17+,12.0,N,gambling blocker
6771357335,Foldd: Quit Gambling Blocker,Alessio Giacobbe,com.foldd.app,https://apps.apple.com/us/app/foldd-quit-gambling-blocker/id6771357335?uo=4,2026-06-14,2026-09-18,1.5.0,0.1,Y,N,0,0,0,Health & Fitness,Health & Fitness; Lifestyle,harm-reduction,4+,17.0,Y,gambling blocker
582050335,Gamble Diary,Donald Marcum,com.marcumsoftwaredevelopment.GamblingDiary1,https://apps.apple.com/us/app/gamble-diary/id582050335?uo=4,2012-12-08,2024-08-03,2.11.001,25.6,N,Y,18,18,4.94444,Lifestyle,Lifestyle; Finance,other,4+,9.0,N,gambling blocker
1661609258,Royal Jackpot Casino Machines,Zadok Limited,free.slots.royal.jackpot,https://apps.apple.com/us/app/royal-jackpot-casino-machines/id1661609258?uo=4,2023-01-04,2026-09-03,1.01.58,0.6,N,N,20708,20708,4.72914,Games,Games,gambling-product,17+,14.0,N,gambling blocker
1121630940,PlayJack Slots,JACK ENTERTAINMENT LLC,com.gameaccount.jackEntertainment.slots,https://apps.apple.com/us/app/playjack-slots/id1121630940?uo=4,2017-08-22,2026-04-15,5.0.0,5.2,N,N,2603,2603,4.27315,Games,Games; Entertainment; Simulation; Casino,gambling-product,17+,15.0,N,gambling blocker
6752622669,Gambulance: Addiction Tools,Elm Tree Software Co LLC,com.elmsoftwareco.Gambulance,https://apps.apple.com/us/app/gambulance-addiction-tools/id6752622669?uo=4,2025-10-23,2026-03-18,1.3.0,6.1,Y,Y,2,2,5,Health & Fitness,Health & Fitness; Lifestyle,harm-reduction,17+,18.5,N,gambling addiction recovery
1523646875,Gambless: Addiction Recovery,MIND SOLUTIONS EOOD,org.gambless.app,https://apps.apple.com/us/app/gambless-addiction-recovery/id1523646875?uo=4,2020-08-29,2020-11-05,1.0.53,70.5,N,Y,0,0,0,Health & Fitness,Health & Fitness; Education,harm-reduction,17+,10.3,N,gambling addiction recovery
1606416910,SMART Recovery,"SMART Recovery USA, Inc.",org.smartrecovery.mobile,https://apps.apple.com/us/app/smart-recovery/id1606416910?uo=4,2022-02-14,2026-07-23,1.0.115,1.9,N,N,27,27,4.11111,Health & Fitness,Health & Fitness; Lifestyle,harm-reduction,12+,13.0,N,gambling addiction recovery
1582444280,Affect: Addiction Recovery,"Affect Therapeutics, Inc.",com.affecttherapeutics.app,https://apps.apple.com/us/app/affect-addiction-recovery/id1582444280?uo=4,2021-10-13,2026-09-15,5.11.0,0.2,N,N,488,488,4.6127,Medical,Medical; Health & Fitness,not-gambling,17+,16.4,N,gambling addiction recovery
1383957273,Workit Health,"WORKIT HEALTH, INC",com.workithealth.workitapp,https://apps.apple.com/us/app/workit-health/id1383957273?uo=4,2018-08-08,2026-07-29,4.7.2,1.7,N,N,950,950,4.68105,Medical,Medical,not-gambling,17+,15.1,N,gambling addiction recovery
6738905436,Lavish Luck Casino,PRUDENT OWL LIMITED,com.prudentowl.ios.lavishluck,https://apps.apple.com/us/app/lavish-luck-casino/id6738905436?uo=4,2024-12-16,2026-08-17,2.6,1.1,N,N,97568,97568,4.76931,Games,Games,gambling-product,17+,15.0,N,gambling addiction recovery
1569873335,Relay: Quit Lust & Addiction,Relay Health Inc,app.jointribe,https://apps.apple.com/us/app/relay-quit-lust-addiction/id1569873335?uo=4,2021-08-23,2026-09-17,1.1671.1,0.1,N,N,3078,3078,4.87263,Health & Fitness,Health & Fitness; Lifestyle,not-gambling,12+,15.0,N,gambling addiction recovery
6760960653,Gambling Recovery Guide,Sihui Han,com.anonymous.gambling-recovery-assistant,https://apps.apple.com/us/app/gambling-recovery-guide/id6760960653?uo=4,2026-03-24,2026-03-24,1.0,5.9,Y,N,0,0,0,Health & Fitness,Health & Fitness; Lifestyle,harm-reduction,4+,15.1,Y,gambling addiction recovery
1658588991,Quit Bad Habits & Addiction,"SHPAVDA, TOO",com.shpavda.bad-habit-break,https://apps.apple.com/us/app/quit-bad-habits-addiction/id1658588991?uo=4,2023-01-17,2026-07-30,1.2.2,1.7,N,N,1083,1083,4.89658,Lifestyle,Lifestyle; Health & Fitness,harm-reduction,4+,13.0,N,gambling addiction recovery
